

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


02/10/2021 21:23:59 ||| SENDER-1     ||  DATA BIT SEND 1
02/10/2021 21:23:59 ||| CHANNEL...   ||  [1, -1, 1, -1]
02/10/2021 21:23:59 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:23:59 ||| RECEIVER-2   ||  BIT RECEIVED : 1
02/10/2021 21:23:59 ||| RECEIVER-4   ||  BIT RECEIVED : 1
02/10/2021 21:23:59 ||| RECEIVER-3   ||  BIT RECEIVED : 1
02/10/2021 21:24:00 ||| SENDER-3     ||  DATA BIT SEND 1
02/10/2021 21:24:00 ||| CHANNEL...   ||  [1, 1, -1, -1]
02/10/2021 21:24:00 ||| SENDER-4     ||  DATA BIT SEND 1
02/10/2021 21:24:00 ||| SENDER-2     ||  DATA BIT SEND 1
02/10/2021 21:24:00 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:24:00 ||| SENDER-1     ||  DATA BIT SEND 1
02/10/2021 21:24:00 ||| CHANNEL...   ||  [1, -1, -1, 1]
02/10/2021 21:24:00 ||| CHANNEL...   ||  [1, -1, 1, -1]
02/10/2021 21:24:00 ||| RECEIVER-1   ||  BIT RECEIVED : 1
02/10/2021 21:24:00 ||| RECEIVER-2   ||  BIT RECEIVED : 1
02/10/2021 21:24:00 ||| RECEIVER-4   ||  BIT RECEIVED : 1
02/10/2021 21:24:00 ||| RECEIVER-3   ||  BIT RECEIVED : 1
02/10/2021 21:24:01 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:24:01 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:24:01 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:24:01 ||| SENDER-2     ||  DATA BIT SEND -1
