

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


03/10/2021 07:37:43 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:43 ||| CHANNEL...   ||  [-1, -1, 1, 1]-1
03/10/2021 07:37:43 ||| CHANNEL...   ||  [-1, 1, 1, -1]-1
03/10/2021 07:37:43 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:43 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:43 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:43 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:43 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:43 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:44 ||| CHANNEL...   ||  [1, 1, 1, 1]
03/10/2021 07:37:44 ||| SENDER-1     ||  DATA BIT SEND 1
03/10/2021 07:37:44 ||| CHANNEL...   ||  [1, 1, -1, -1]
03/10/2021 07:37:44 ||| SENDER-3     ||  DATA BIT SEND 1
03/10/2021 07:37:44 ||| CHANNEL...   ||  [1, -1, -1, 1]
03/10/2021 07:37:44 ||| SENDER-4     ||  DATA BIT SEND 1
03/10/2021 07:37:44 ||| SENDER-2     ||  DATA BIT SEND 1
03/10/2021 07:37:44 ||| RECEIVER-1   ||  BIT RECEIVED : 1
03/10/2021 07:37:44 ||| RECEIVER-2   ||  BIT RECEIVED : 1
03/10/2021 07:37:44 ||| RECEIVER-4   ||  BIT RECEIVED : 1
03/10/2021 07:37:44 ||| RECEIVER-3   ||  BIT RECEIVED : 1
03/10/2021 07:37:45 ||| CHANNEL...   ||  [1, 1, 1, 1]
03/10/2021 07:37:45 ||| SENDER-1     ||  DATA BIT SEND 1
03/10/2021 07:37:45 ||| CHANNEL...   ||  [1, 1, -1, -1]
03/10/2021 07:37:45 ||| SENDER-3     ||  DATA BIT SEND 1
